address,price,price_per_sqm,rooms,floor,sqm,date,lot_sqm,housing_type,monthly_fee,build_year,starting_price,page
Fågelbacksgatan 6H,3200000,35600,3,1,90,2025-06-19,,Lägenhet,5662,1993,3275000,7
Sölvesborgsgatan 3D,2050000,38700,2,4,53,2025-06-19,,Lägenhet,4544,1939,2095000,7
Nobelvägen 145A,1750000,22400,3,1,78,2025-06-19,,Lägenhet,5855,1938,1795000,7
Friggs gränd 16,2250000,32600,2,1,69,2025-06-19,,Lägenhet,4864,2019,2295000,7
Serenadgatan 56,970000,15200,2,1,64,2025-06-19,,Lägenhet,4099,1971,995000,7
Jägersrovägen 7B,895000,15700,2,4,57,2025-06-19,,Lägenhet,4398,1960,895000,7
Idaborgsgatan 55B,1480000,27700,2,6,53,2025-06-19,,Lägenhet,3698,,1595000,7
Flaggskeppsgatan 2,2695000,45700,2,4,59,2025-06-19,,Lägenhet,4636,2008,2695000,7
Sergeantgatan 3,2395000,22500,4,3,106,2025-06-19,,Lägenhet,6066,,2495000,7
Kronetorpsgatan 90A,1200000,19000,3,3,63,2025-06-19,,Lägenhet,5006,1964,1250000,7
Västra Varvsgatan 21C,3310000,46600,3,2,71,2025-06-19,,Lägenhet,5647,2016,3350000,7
Västanväg 59A,1450000,26600,2,2,54,2025-06-19,,Lägenhet,3737,1949,1595000,7
Krankajen 44,4595000,76600,2,5,60,2025-06-19,,Lägenhet,3166,2007,4595000,7
Flensburgsgatan 3A,1995000,33300,2,3,60,2025-06-19,,Lägenhet,4130,1928,1995000,7
Karolingatan 14,1300000,15300,3,,85,2025-06-18,,Lägenhet,,,,7
Slussplan 3B,3575000,65000,2,9,55,2025-06-18,,Lägenhet,3157,2013,3495000,7
Sankt Knuts väg 4B,1960000,46600,1,1,42,2025-06-18,,Lägenhet,2578,1930,2095000,7
Birger Jarlsgatan 32B,1500000,30000,2,4,50,2025-06-18,,Lägenhet,,,,7
Hillerödsvägen 5C,2095000,37700,2,1,55,2025-06-18,,Lägenhet,3908,1945,2095000,7
Lugna gatan 39,3975000,35800,4,1,111,2025-06-18,,Lägenhet,5962,1977,3750000,7
Dammfrivägen 48A,3050000,35500,3,4,86,2025-06-18,,Lägenhet,4576,1958,2950000,7
Regementsgatan 78,3650000,50000,3,1,73,2025-06-18,,Lägenhet,3800,1939,3595000,7
Soprangatan 24,2300000,25300,4,1,91,2025-06-18,,Lägenhet,7354,1975,2300000,7
Kilian Zollsgatan 7D,3880000,54600,3,1,71,2025-06-18,,Lägenhet,5036,1939,3395000,7
Regissörgatan 9,1875000,23900,3,8,78,2025-06-18,,Lägenhet,5150,1972,1695000,7
